episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,episode_reward_max_adapt_1,episode_reward_mean_adapt_1,episode_reward_min_adapt_1,adaptation_delta,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/kl,info/learner/default_policy/inner_kl,info/learner/default_policy/entropy
0.08,0.0,0.03749999999999999,nan,0,6,60480,0.08,-0.24499999999999997,-9.0,-0.2825,False,0,21,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-20,1597645100,1.070556879043579,35.75791692733765,6395,Francesco-PC,132.239.10.91,35.75791692733765,0,21,[],[],60480,60480,84.7,60.8,[4.76837181e-10],9.999999747378752e-05,0.41014874,2.0861625e-08,0.0048237345,-2.2560392e-10,[-6.171493e-11],0.69278175
0.08,-9.0,-0.11466666666666667,nan,0,6,63360,0.08,0.04449999999999999,0.0,0.15916666666666665,False,0,22,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-21,1597645101,0.9970011711120605,36.75491809844971,6395,Francesco-PC,132.239.10.91,36.75491809844971,0,22,[],[],63360,63360,90.4,60.8,[2.3841859e-10],9.999999747378752e-05,0.0035943408,1.7384687e-08,0.0084176995,1.013937e-09,[-7.229762e-10],0.6927811
0.08,-10.0,-0.12450000000000001,nan,0,6,66240,0.08,0.03866666666666667,0.0,0.16316666666666668,False,0,23,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-22,1597645102,0.9442758560180664,37.69919395446777,6395,Francesco-PC,132.239.10.91,37.69919395446777,0,23,[],[],66240,66240,88.3,60.8,[1.19209295e-10],9.999999747378752e-05,0.003911139,9.934108e-10,0.012733104,-6.324775e-10,[7.919982e-10],0.6927623
0.08,-8.0,-0.08399999999999999,nan,0,6,69120,0.08,-0.2205,-8.0,-0.1365,False,0,24,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-23,1597645103,0.9478294849395752,38.64702343940735,6395,Francesco-PC,132.239.10.91,38.64702343940735,0,24,[],[],69120,69120,83.5,60.8,[5.96046476e-11],9.999999747378752e-05,0.37315175,-1.3411045e-08,2.1159825,-1.1100474e-09,[-5.498478e-10],0.69272715
0.08,-10.0,-0.2726666666666667,nan,0,6,72000,0.08,-0.256,-9.0,0.01666666666666672,False,0,25,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-24,1597645104,0.9524021148681641,39.59942555427551,6395,Francesco-PC,132.239.10.91,39.59942555427551,0,25,[],[],72000,72000,84.2,60.7,[2.98023238e-11],9.999999747378752e-05,0.4409585,3.0795732e-08,0.0078327,-1.3374151e-09,[1.01532414e-10],0.6926805
0.08,-6.92,-0.07266666666666664,nan,0,6,74880,0.08,-0.11933333333333332,-9.0,-0.046666666666666676,False,0,26,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-25,1597645105,0.9987325668334961,40.59815812110901,6395,Francesco-PC,132.239.10.91,40.59815812110901,0,26,[],[],74880,74880,87.7,60.7,[1.49011619e-11],9.999999747378752e-05,0.2331378,2.036492e-08,2.7504222,9.82031e-10,[-5.7531274e-10],0.69266415
0.08,0.0,0.04533333333333333,nan,0,6,77760,0.08,0.03799999999999999,0.0,-0.0073333333333333375,False,0,27,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-26,1597645106,0.9820339679718018,41.58019208908081,6395,Francesco-PC,132.239.10.91,41.58019208908081,0,27,[],[],77760,77760,90.0,60.7,[7.45058095e-12],9.999999747378752e-05,0.0059458334,-3.0795732e-08,0.010416791,-7.449306e-10,[4.1884363e-10],0.6926199
0.08,0.0,0.0415,nan,0,6,80640,0.08,0.043000000000000003,0.0,0.0015000000000000013,False,0,28,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-28,1597645108,1.0020582675933838,42.582250356674194,6395,Francesco-PC,132.239.10.91,42.582250356674194,0,28,[],[],80640,80640,85.05000000000001,60.7,[3.72529048e-12],9.999999747378752e-05,0.004213665,-9.934108e-09,0.008900797,5.661385e-10,[-4.8264714e-10],0.6926011
0.08,-10.0,-0.6398333333333334,nan,0,6,83520,0.08,-0.06766666666666667,-6.0,0.5721666666666667,False,0,29,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-29,1597645109,1.0861034393310547,43.66835379600525,6395,Francesco-PC,132.239.10.91,43.66835379600525,0,29,[],[],83520,83520,88.1,60.6,[1.86264524e-12],9.999999747378752e-05,0.105485894,6.9538753e-09,0.010676393,-3.4940686e-10,[3.4241077e-10],0.69256556
0.08,0.0,0.04533333333333333,nan,0,6,86400,0.08,-0.10516666666666664,-9.0,-0.15049999999999997,False,0,30,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-30,1597645110,0.9595944881439209,44.62794828414917,6395,Francesco-PC,132.239.10.91,44.62794828414917,0,30,[],[],86400,86400,82.1,60.6,[9.31322619e-13],9.999999747378752e-05,0.23281014,1.1424223e-08,0.010028969,7.0613204e-10,[4.2309017e-11],0.6925399
0.08,-9.0,-0.106,nan,0,6,89280,0.08,-0.09199999999999998,-8.0,0.014000000000000012,False,0,31,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-31,1597645111,1.0192012786865234,45.64714956283569,6395,Francesco-PC,132.239.10.91,45.64714956283569,0,31,[],[],89280,89280,85.8,60.6,[4.65661309e-13],9.999999747378752e-05,0.17930965,1.39077505e-08,0.010230978,2.3745625e-10,[-4.31989e-10],0.692514
0.08,-7.92,-0.09016666666666667,nan,0,6,92160,0.08,0.044666666666666674,0.0,0.13483333333333336,False,0,32,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-32,1597645112,0.9410202503204346,46.58816981315613,6395,Francesco-PC,132.239.10.91,46.58816981315613,0,32,[],[],92160,92160,81.6,60.6,[2.32830655e-13],9.999999747378752e-05,0.005410338,3.973643e-09,0.0139269745,-1.2005592e-09,[5.907787e-10],0.692474
0.08,-7.0,-0.07083333333333333,nan,0,6,95040,0.08,-0.389,-10.0,-0.3181666666666667,False,0,33,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-33,1597645113,1.0037598609924316,47.59192967414856,6395,Francesco-PC,132.239.10.91,47.59192967414856,0,33,[],[],95040,95040,88.9,60.6,[1.16415327e-13],9.999999747378752e-05,0.6387094,-4.9670536e-08,0.01567043,1.6908158e-09,[4.3686152e-10],0.69242185
0.08,-10.0,-0.39499999999999996,nan,0,6,97920,0.08,-0.1023333333333333,-9.0,0.29266666666666663,False,0,34,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-34,1597645114,0.955585241317749,48.54751491546631,6395,Francesco-PC,132.239.10.91,48.54751491546631,0,34,[],[],97920,97920,88.8,60.6,[5.82076637e-14],9.999999747378752e-05,0.23227638,3.0299027e-08,0.010523201,1.4626108e-11,[-2.8872138e-10],0.6923863
0.08,-9.0,-0.35616666666666663,nan,0,6,100800,0.08,-0.32866666666666666,-8.0,0.02749999999999997,False,0,35,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-35,1597645115,0.9952120780944824,49.54272699356079,6395,Francesco-PC,132.239.10.91,49.54272699356079,0,35,[],[],100800,100800,87.4,60.6,[2.91038318e-14],9.999999747378752e-05,0.4495336,9.934108e-09,2.0970979,-1.2664964e-09,[-8.715542e-10],0.6923735
0.08,-7.0,-0.07233333333333332,nan,0,6,103680,0.08,-0.07,-7.0,0.0023333333333333123,False,0,36,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-36,1597645116,0.9442751407623291,50.48700213432312,6395,Francesco-PC,132.239.10.91,50.48700213432312,0,36,[],[],103680,103680,87.4,60.6,[1.45519159e-14],9.999999747378752e-05,0.14808212,1.4901161e-09,1.7094798,2.7132493e-10,[5.942274e-10],0.6922804
0.08,-10.0,-0.1415,nan,0,6,106560,0.08,0.03866666666666667,0.0,0.18016666666666664,False,0,37,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-37,1597645117,0.9434874057769775,51.4304895401001,6395,Francesco-PC,132.239.10.91,51.4304895401001,0,37,[],[],106560,106560,86.3,60.6,[7.27595796e-15],9.999999747378752e-05,0.005839298,-1.9868216e-08,0.013638,1.9237236e-09,[5.714537e-10],0.6922624
0.08,-9.0,-0.3630000000000001,nan,0,6,109440,0.08,-0.4948333333333333,-10.92,-0.1318333333333332,False,0,38,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-38,1597645118,0.9478468894958496,52.37833642959595,6395,Francesco-PC,132.239.10.91,52.37833642959595,0,38,[],[],109440,109440,85.6,60.6,[3.63797898e-15],9.999999747378752e-05,0.79384154,-4.321337e-08,5.076845,1.0351868e-09,[5.137016e-10],0.6921928
